Metro Cities,Cities,2001,2002,2003,2004,2005,2006,2007,2008,2009
Ahmedabad,Ahmedabad,846,899,978,1075,1632,1780,1451,1586,1691
BENGALURU,Bengaluru,1593,1680,1771,1891,2232,2617,2179,2640,3016
BHOPAL,Bhopal,309,333,361,392,428,476,524,571,617
CHENNAI,Chennai,1257,1356,1895,2015,2167,2338,2518,2701,2919
COIMBATORE,Coimbatore,409,448,578,630,682,750,827,910,1002
DELHI,Delhi,3635,3699,3971,4237,4186,4487,5492,5899,6302
HYDERABAD,Hyderabad,951,1241,1319,1356,1433,1522,2181,2444,2682
INDORE,Indore,517,550,592,645,705,771,844,929,1007
JAIPUR,Jaipur,644,693,753,824,923,1051,1177,1289,1387
KANPUR,Kanpur,370,385,425,425,425,425,553,598,642
KOCHI,Kochi,152,152,166,166,166,166,257,247,303
KOLKATA,Kolkata,664,801,842,875,911,948,987,573,581
LUCKNOW,Lucknow,465,556,615,615,615,615,801,962,1025
LUDHIANA,Ludhiana,646,685,728,771,771,771,771,771,771
MADURAI,Madurai,219,240,281,304,330,364,402,440,478
GREATER MUMBAI,Greater Mumbai,1030,1069,1124,1199,1295,1394,1503,1605,1674
NAGPUR,Nagpur,416,459,503,543,770,824,884,946,1009
PATNA,Patna,293,313,336,336,378,405,437,471,516
PUNE,Pune,620,658,697,755,827,874,930,1141,1153
SURAT,Surat,534,575,633,692,692,692,912,982,1036
VADODARA,Vadodara,475,506,546,586,586,586,861,934,1009
VARANASI,Varanasi,333,339,366,366,366,366,456,482,522
VISAKHAPATNAM,Visakhapatnam,209,364,393,412,435,462,472,515,559
